Severity,Marker Colour,Number of Vehicles,Number of Casualties,Date,Day,a_date_mon,Time Hour,Time Minutes,Road Class,road_type,speed_limi,junc_det,junc_ctrl,road2_class,light_cond,weather,road_surf,Postcode,Latitude,Longitude
Serious,large_blue,2,1,8/12/2010,Thursday,August,17,24,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH8 9JG,55.941429,-3.181728
Serious,large_blue,2,1,8/25/2010,Wednesday,August,7,25,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH11 2JL,55.938042,-3.226706
Serious,large_blue,2,1,9/7/2010,Tuesday,September,18,35,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Darkness: street lights present and lit,Raining (without high winds),Dry,EH16 5BS,55.938668,-3.174471
Serious,large_blue,2,1,9/26/2010,Sunday,September,12,26,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH3 5QL,55.969105,-3.206636
Serious,large_blue,2,1,9/28/2010,Tuesday,September,13,30,C,Single carriageway - 2 lanes,30,Crossroads,Authorised Person,C,Daylight: street lights present,Raining (without high winds),Dry,EH2 1DR,55.954478,-3.198253
Serious,large_blue,2,1,9/29/2010,Wednesday,September,6,41,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH4 3AD,55.954894,-3.217229
Serious,large_blue,1,1,9/29/2010,Wednesday,September,16,50,B,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH1 3SB,55.958099,-3.189908
Serious,large_blue,2,1,10/5/2010,Tuesday,October,8,40,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH14 5EG,55.90232,-3.289509
Serious,large_blue,2,1,10/6/2010,Wednesday,October,18,0,A,Single carriageway - 2 lanes,30,Crossroads,Authorised Person,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH12 5SG,55.944603,-3.251524
Serious,large_blue,1,1,10/10/2010,Sunday,October,13,0,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH14 1DW,55.915576,-3.239453
Serious,large_blue,2,1,10/27/2010,Wednesday,October,11,30,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Other,Dry,EH9 1SS,55.934542,-3.179261
Serious,large_blue,2,1,11/4/2010,Thursday,November,8,0,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Raining (without high winds),Dry,EH16 4SY,55.926035,-3.138944
Serious,large_blue,2,1,11/8/2010,Monday,November,7,45,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Raining (without high winds),Dry,EH15 2ND,55.94468,-3.09935
Serious,large_blue,2,1,12/10/2010,Friday,December,21,25,A,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Other,Dry,EH2 2DF,55.952424,-3.195948
Serious,large_blue,2,1,12/13/2010,Monday,December,9,0,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH7 4AE,55.959443,-3.183782
Serious,large_blue,2,1,04/01/2011,Tuesday,January,7,15,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH42NF,55.96237,-3.239763
Serious,large_blue,2,1,29/01/2011,Saturday,January,13,0,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Unknown,Dry,EH152NL,55.945365,-3.095158
Serious,large_blue,2,1,08/02/2011,Tuesday,February,13,0,B,Roundabout,30,Roundabout,Give way sign or markings,B,Daylight: no street lighting,Fine (without high winds),Dry,EH42DL,55.958445,-3.227928
